timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1623905783111,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783114,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783116,4,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,4,0,1
1623905783120,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783123,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783125,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783127,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783129,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783132,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783134,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783136,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783139,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783141,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783143,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783145,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783148,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783150,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783153,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783155,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783157,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783159,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783162,1,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,1,0,0
1623905783164,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,1,0,0
1623905783166,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783169,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783171,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783173,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783176,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783179,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783181,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
